4426984987817332320,-4458232275379536709,-8999700327523040719
5632413144100692602,3111503790819731156,3954947174358378249
4779394550257368230,-7157880194839827569,4810422512863674899
5086821351081105116,-5625477440846631677,750320516250276382
-4610435318806922344,-2506167696888576145,-3131188754122315074
1957297948926853709,3384011102327528005,-5138454476079995655
-8535401008789937769,-5439175774524507478,4443989570767214215
-369556325925711512,-3097553536364323193,1789352404609769758
-7697144754832465205,-6675497394030742257,6376147737246389590
2416709119940158660,-8201535018813584321,-8056554887543949648
