11241,2001
35356,2001
46287,2001
73391,2001
131603,2001
152649,2001
11034,2001
35356,2001
46425,2001
78151,2001
131614,2001
163694,2001
16097,2001
35225,2001
46425,2001
99515,2001
127300,2001
163694,2001
16098,2001
27057,2001
46436,2001
98247,2001
131614,2001
153111,2001
11116,2001
24346,2001
64363,2001
79209,2001
90595,2001
112675,2001
832,196
1204,291
2849,576
6397,1051
11108,2001
24408,3901
74544,9601
165117,19101
673,196
1218,291
3954,576
5813,1051
16043,2001
22075,3901
55108,9601
115108,19101
716,196
1698,291
3598,576
8097,1051
16098,2001
22108,3901
57309,9601
165127,19101
842,196
1204,291
2991,576
5598,1051
11098,2001
22093,3901
55098,9601
114635,19101
658,196
1708,291
2838,576
5598,1051
14920,2001
32108,3901
55108,9601
165127,19101
