0,16051
0,35310
0,67399
0,75708
0,131568
0,159751
0,15952
0,35310
0,49411
0,99479
0,131568
0,163648
0,16062
0,24310
0,46124
0,71093
0,111247
0,113682
0,11062
0,24310
0,46390
0,68479
0,90559
0,112639
0,16062
0,35310
0,67399
0,98709
0,131568
0,163648
0,840
0,1607
0,2888
0,5562
0,16062
0,32040
0,57562
0,115071
0,622
0,1315
0,3746
0,8062
0,16062
0,23806
0,80071
0,165080
0,635
0,1662
0,2812
0,5562
0,11121
0,22062
0,55062
0,165080
0,589
0,1629
0,4062
0,7996
0,11062
0,30458
0,82571
0,165080
0,612
0,1153
0,2812
0,5778
0,11011
0,32062
0,80071
0,115071
