5,11,3,5.0067901611328125e-05,
10,11,3,8.96453857421875e-05,
25,11,3,0.00022554397583007812,
50,11,3,0.0005075931549072266,
100,11,3,0.0009708404541015625,
200,11,3,0.0018885135650634766,
500,11,3,
1000,11,3,0.010951995849609375,
5,11,3,5.435943603515625e-05,
10,11,3,
0.00010371208190917969,25,11,3,0.00027680397033691406,
50,11,3,0.0005464553833007812,
100,11,3,0.0010399818420410156,
200,11,3,0.002199888229370117,
500,11,3,0.004745006561279297,
1000,11,3,0.013466596603393555,
5,11,3,5.1975250244140625e-05,
10,11,3,0.00010180473327636719,
25,11,3,0.0002830028533935547,
50,11,3,0.0004417896270751953,
100,11,3,0.0010762214660644531,
200,11,3,0.0020873546600341797,
500,11,3,
0.005408525466918945,1000,11,3,0.009705305099487305,
5,11,3,4.935264587402344e-05,
10,11,3,0.00017189979553222656,
25,11,3,0.0002262592315673828,
50,11,3,0.0004792213439941406,
100,11,3,0.0010364055633544922,
200,11,3,0.0022139549255371094,
500,11,3,0.005230426788330078,
1000,11,3,0.011148214340209961,
5,11,3,5.14984130859375e-05,
10,11,3,
25,11,3,0.0002601146697998047,
50,11,3,0.00042748451232910156,
100,11,3,0.0009808540344238281,
200,11,3,0.0021233558654785156,
500,11,3,
0.0065724849700927734,1000,11,3,0.011043787002563477,
